"street1","street2","decision"
"SCIENCE","SPICE","0"
"DRY DOCK","DRYDOCK","1"
"NEW WHITNEY","NEW HILL","0"
"SPEARE","PEARL","0"
"FINANCIAL CN","NANCIA","0"
"FLAGSHIP","FLAVIA","0"
"WILLIAM T MORRISSEY","WM T MORRISSEY","1"
"TOMAHAWK","MOHAWK","0"
"ROWES WH","ROWES WHARF","1"
"SUDBURY","DUXBURY","0"
"O'LEARY","ORLEANS","0"
"MOON ISLAND","LONG ISLAND","0"
"CUMMINGTON MA","CUMMINGTON","1"
"SAINT MARY'S","SAINT MARYS","1"
"LOUDER'S","LOUDERS","1"
"BATTERY WH","BATTERY","1"
"FATHER FRANCIS J GILDAY","FR FRANCIS GILDAY","1"
"BLACK FALCON","BLACKFAN","0"
"WALFORD","ALFORD","0"
"GEROGETOWNE","GEORGETOWNE","1"
"THE FENWAY","HEMENWAY","0"
"SAINT STEPHENS","SAINT STEPHEN","1"
"FATHER JACOBEE","ATHERSTONE","0"
"CROWN POINT","CITY POINT","0"
"FOREST HILL","FOREST HILLS","1"
"TUFTS","TAFT","0"
"HYDE","LYNDE","0"
"DEGAUTIER","DECATUR","0"
"BOWDIN","BOWDOIN","1"
"DUNSTABLE","LONSDALE","0"
"TIBBETSTOWN","TILESTON","0"
"PERTH","NORTH","0"
"WILBERT","WILBUR","0"
"HOFFMAN","HOLMAN","0"
"HAZELTON","HAZLETON","1"
"PILSUDSKI","PULASKI","0"
"EAST MCDONOUGH","MCDONOUGH","1"
"DALESSIO","PALERMO","0"
"VILLAGE","WALLACE","0"
"MARGARETTA","MARGARET","0"
"BRADLEY","BRADLEE","1"
"WALKHILL","WALK HILL","1"
"FOLSON","FOLSOM","1"
"DECONSHIRE","DEVONSHIRE","1"
"GEORGETOWN","GEORGETOWNE","1"
"ACADEMY","ACADIA","0"
"SLAYTON","CLAYTON","0"
"WEAVER","SEAVER","0"
"BIERNE","DERNE","0"
"HOMMAGEN","HEMMAN","0"
"STARR KING","STRONG","0"
"STERLING","SNELLING","0"
"FORREST HILLS","FOREST HILLS","1"
"CATBIRD","THIRD","0"
"VICTORIA  HEIGHTS","VICTORIA HEIGHTS","1"
"MASACHUSETTS","MASSACHUSETTS","1"
"BISMARK","BISMARCK","1"
"B BRUNSWICK","BRUNSWICK","1"
